0,1,2,3,4,5
ANDHRA PRADESH,2007,Diploma,81,14,95
ANDHRA PRADESH,2007,Graduate,114,43,157
ANDHRA PRADESH,2007,Post Graduate and Above,40,12,52
ANDHRA PRADESH,2007,Total,9949,4933,14882
ANDHRA PRADESH,2008,No Education,2999,1687,4686
ANDHRA PRADESH,2008,Primary,2094,1104,3198
ANDHRA PRADESH,2008,Middle,1869,875,2744
ANDHRA PRADESH,2008,Matriculate/Secondary,1396,596,1992
ANDHRA PRADESH,2008,Hr. Secondary/Intermediate/Pre-Universit,965,276,1241
ANDHRA PRADESH,2008,Diploma,94,18,112
ANDHRA PRADESH,2008,Graduate,235,62,297
ANDHRA PRADESH,2008,Post Graduate and Above,69,15,84
ANDHRA PRADESH,2008,Total,9721,4633,14354
ANDHRA PRADESH,2009,No Education,2844,1659,4503
ANDHRA PRADESH,2009,Primary,2234,967,3201
ANDHRA PRADESH,2009,Middle,1919,900,2819
ANDHRA PRADESH,2009,Matriculate/Secondary,1653,669,2322
ANDHRA PRADESH,2009,Hr. Secondary/Intermediate/Pre-Universit,755,277,1032
ANDHRA PRADESH,2009,Diploma,124,35,159
ANDHRA PRADESH,2009,Graduate,257,84,341
ANDHRA PRADESH,2009,Post Graduate and Above,101,22,123
ANDHRA PRADESH,2009,Total,9887,4613,14500
ANDHRA PRADESH,2010,No Education,3115,1700,4815
ANDHRA PRADESH,2010,Primary,2465,1273,3738
ANDHRA PRADESH,2010,Middle,2097,884,2981
ANDHRA PRADESH,2010,Matriculate/Secondary,1775,598,2373
ANDHRA PRADESH,2010,Hr. Secondary/Intermediate/Pre-Universit,875,309,1184
ANDHRA PRADESH,2010,Diploma,104,40,144
ANDHRA PRADESH,2010,Graduate,379,121,500
ANDHRA PRADESH,2010,Post Graduate and Above,137,29,166
ANDHRA PRADESH,2010,Total,10947,4954,15901
ANDHRA PRADESH,2011,No Education,3015,1724,4739
ANDHRA PRADESH,2011,Primary,1979,1007,2986
ANDHRA PRADESH,2011,Middle,2327,1028,3355
ANDHRA PRADESH,2011,Matriculate/Secondary,1484,642,2126
ANDHRA PRADESH,2011,Hr. Secondary/Intermediate/Pre-Universit,873,450,1323
ANDHRA PRADESH,2011,Diploma,136,30,166
ANDHRA PRADESH,2011,Graduate,263,60,323
ANDHRA PRADESH,2011,Post Graduate and Above,43,16,59
ANDHRA PRADESH,2011,Total,10120,4957,15077
ANDHRA PRADESH,2012,No Education,3311,1630,4941
ANDHRA PRADESH,2012,Primary,1949,1080,3029
ANDHRA PRADESH,2012,Middle,1880,859,2739
ANDHRA PRADESH,2012,Matriculate/Secondary,1296,636,1932
ANDHRA PRADESH,2012,Hr. Secondary/Intermediate/Pre-Universit,541,333,874
ANDHRA PRADESH,2012,Diploma,110,28,138
ANDHRA PRADESH,2012,Graduate,402,126,528
ANDHRA PRADESH,2012,Post Graduate and Above,38,19,57
ANDHRA PRADESH,2012,Total,9527,4711,14238
ARUNACHAL PRADESH,2001,No Education,14,10,24
ARUNACHAL PRADESH,2001,Primary,19,12,31
ARUNACHAL PRADESH,2001,Middle,19,11,30
ARUNACHAL PRADESH,2001,Matriculate/Secondary,21,2,23
ARUNACHAL PRADESH,2001,Hr. Secondary/Intermediate/Pre-Universit,1,0,1
ARUNACHAL PRADESH,2001,Diploma,0,0,0
ARUNACHAL PRADESH,2001,Graduate,1,0,1
ARUNACHAL PRADESH,2001,Post Graduate and Above,1,0,1
ARUNACHAL PRADESH,2001,Total,76,35,111
ARUNACHAL PRADESH,2002,No Education,18,18,36
ARUNACHAL PRADESH,2002,Primary,22,12,34
ARUNACHAL PRADESH,2002,Middle,17,12,29
ARUNACHAL PRADESH,2002,Matriculate/Secondary,14,1,15
ARUNACHAL PRADESH,2002,Hr. Secondary/Intermediate/Pre-Universit,0,0,0
ARUNACHAL PRADESH,2002,Diploma,0,0,0
ARUNACHAL PRADESH,2002,Graduate,0,0,0
ARUNACHAL PRADESH,2002,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2002,Total,71,43,114
ARUNACHAL PRADESH,2003,No Education,16,8,24
ARUNACHAL PRADESH,2003,Primary,6,6,12
ARUNACHAL PRADESH,2003,Middle,15,5,20
ARUNACHAL PRADESH,2003,Matriculate/Secondary,14,8,22
ARUNACHAL PRADESH,2003,Hr. Secondary/Intermediate/Pre-Universit,1,0,1
ARUNACHAL PRADESH,2003,Diploma,1,0,1
ARUNACHAL PRADESH,2003,Graduate,1,0,1
ARUNACHAL PRADESH,2003,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2003,Total,54,27,81
ARUNACHAL PRADESH,2004,No Education,15,12,27
ARUNACHAL PRADESH,2004,Primary,14,9,23
ARUNACHAL PRADESH,2004,Middle,17,4,21
ARUNACHAL PRADESH,2004,Matriculate/Secondary,3,5,8
ARUNACHAL PRADESH,2004,Hr. Secondary/Intermediate/Pre-Universit,0,0,0
ARUNACHAL PRADESH,2004,Diploma,0,0,0
ARUNACHAL PRADESH,2004,Graduate,0,0,0
ARUNACHAL PRADESH,2004,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2004,Total,49,30,79
ARUNACHAL PRADESH,2005,No Education,14,6,20
ARUNACHAL PRADESH,2005,Primary,14,9,23
ARUNACHAL PRADESH,2005,Middle,10,4,14
ARUNACHAL PRADESH,2005,Matriculate/Secondary,8,2,10
ARUNACHAL PRADESH,2005,Hr. Secondary/Intermediate/Pre-Universit,2,0,2
ARUNACHAL PRADESH,2005,Diploma,0,0,0
ARUNACHAL PRADESH,2005,Graduate,1,0,1
ARUNACHAL PRADESH,2005,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2005,Total,49,21,70
ARUNACHAL PRADESH,2006,No Education,19,11,30
ARUNACHAL PRADESH,2006,Primary,8,5,13
ARUNACHAL PRADESH,2006,Middle,25,7,32
ARUNACHAL PRADESH,2006,Matriculate/Secondary,37,7,44
ARUNACHAL PRADESH,2006,Hr. Secondary/Intermediate/Pre-Universit,6,3,9
ARUNACHAL PRADESH,2006,Diploma,0,0,0
ARUNACHAL PRADESH,2006,Graduate,0,0,0
ARUNACHAL PRADESH,2006,Post Graduate and Above,1,0,1
ARUNACHAL PRADESH,2006,Total,96,33,129
ARUNACHAL PRADESH,2007,No Education,31,6,37
ARUNACHAL PRADESH,2007,Primary,14,13,27
ARUNACHAL PRADESH,2007,Middle,27,8,35
ARUNACHAL PRADESH,2007,Matriculate/Secondary,7,2,9
ARUNACHAL PRADESH,2007,Hr. Secondary/Intermediate/Pre-Universit,17,2,19
ARUNACHAL PRADESH,2007,Diploma,0,0,0
ARUNACHAL PRADESH,2007,Graduate,2,0,2
ARUNACHAL PRADESH,2007,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2007,Total,98,31,129
ARUNACHAL PRADESH,2008,No Education,12,10,22
ARUNACHAL PRADESH,2008,Primary,28,11,39
ARUNACHAL PRADESH,2008,Middle,24,10,34
ARUNACHAL PRADESH,2008,Matriculate/Secondary,13,1,14
ARUNACHAL PRADESH,2008,Hr. Secondary/Intermediate/Pre-Universit,0,1,1
ARUNACHAL PRADESH,2008,Diploma,0,0,0
ARUNACHAL PRADESH,2008,Graduate,0,0,0
ARUNACHAL PRADESH,2008,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2008,Total,77,33,110
ARUNACHAL PRADESH,2009,No Education,12,10,22
ARUNACHAL PRADESH,2009,Primary,28,11,39
ARUNACHAL PRADESH,2009,Middle,24,10,34
ARUNACHAL PRADESH,2009,Matriculate/Secondary,13,1,14
ARUNACHAL PRADESH,2009,Hr. Secondary/Intermediate/Pre-Universit,0,1,1
ARUNACHAL PRADESH,2009,Diploma,0,0,0
ARUNACHAL PRADESH,2009,Graduate,0,0,0
ARUNACHAL PRADESH,2009,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2009,Total,77,33,110
ARUNACHAL PRADESH,2010,No Education,17,5,22
ARUNACHAL PRADESH,2010,Primary,20,13,33
ARUNACHAL PRADESH,2010,Middle,15,4,19
ARUNACHAL PRADESH,2010,Matriculate/Secondary,25,12,37
ARUNACHAL PRADESH,2010,Hr. Secondary/Intermediate/Pre-Universit,12,6,18
ARUNACHAL PRADESH,2010,Diploma,1,0,1
ARUNACHAL PRADESH,2010,Graduate,1,0,1
ARUNACHAL PRADESH,2010,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2010,Total,91,40,131
ARUNACHAL PRADESH,2011,No Education,21,12,33
ARUNACHAL PRADESH,2011,Primary,24,11,35
ARUNACHAL PRADESH,2011,Middle,29,7,36
ARUNACHAL PRADESH,2011,Matriculate/Secondary,20,4,24
ARUNACHAL PRADESH,2011,Hr. Secondary/Intermediate/Pre-Universit,5,0,5
ARUNACHAL PRADESH,2011,Diploma,0,0,0
ARUNACHAL PRADESH,2011,Graduate,0,1,1
ARUNACHAL PRADESH,2011,Post Graduate and Above,0,0,0
ARUNACHAL PRADESH,2011,Total,99,35,134
ARUNACHAL PRADESH,2012,No Education,25,5,30
ARUNACHAL PRADESH,2012,Primary,27,8,35
ARUNACHAL PRADESH,2012,Middle,19,8,27
ARUNACHAL PRADESH,2012,Matriculate/Secondary,20,6,26
ARUNACHAL PRADESH,2012,Hr. Secondary/Intermediate/Pre-Universit,4,0,4
ARUNACHAL PRADESH,2012,Diploma,0,0,0
ARUNACHAL PRADESH,2012,Graduate,1,1,2
ARUNACHAL PRADESH,2012,Post Graduate and Above,4,2,6
ARUNACHAL PRADESH,2012,Total,100,30,130
ASSAM,2001,No Education,350,182,532
ASSAM,2001,Primary,542,269,811
ASSAM,2001,Middle,497,244,741
ASSAM,2001,Matriculate/Secondary,311,66,377
ASSAM,2001,Hr. Secondary/Intermediate/Pre-Universit,110,46,156
ASSAM,2001,Diploma,3,0,3
ASSAM,2001,Graduate,23,4,27
ASSAM,2001,Post Graduate and Above,0,0,0
ASSAM,2001,Total,1836,811,2647
ASSAM,2002,No Education,379,215,594
ASSAM,2002,Primary,414,214,628
ASSAM,2002,Middle,553,264,817
ASSAM,2002,Matriculate/Secondary,275,87,362
ASSAM,2002,Hr. Secondary/Intermediate/Pre-Universit,62,23,85
ASSAM,2002,Diploma,4,0,4
ASSAM,2002,Graduate,9,3,12
ASSAM,2002,Post Graduate and Above,6,2,8
ASSAM,2002,Total,1702,808,2510
ASSAM,2003,No Education,238,191,429
ASSAM,2003,Primary,510,259,769
ASSAM,2003,Middle,420,245,665
ASSAM,2003,Matriculate/Secondary,290,97,387
ASSAM,2003,Hr. Secondary/Intermediate/Pre-Universit,174,86,260
ASSAM,2003,Diploma,14,6,20
ASSAM,2003,Graduate,20,17,37
ASSAM,2003,Post Graduate and Above,10,19,29
ASSAM,2003,Total,1676,920,2596
ASSAM,2004,No Education,318,172,490
ASSAM,2004,Primary,406,187,593
ASSAM,2004,Middle,485,305,790
ASSAM,2004,Matriculate/Secondary,497,124,621
ASSAM,2004,Hr. Secondary/Intermediate/Pre-Universit,196,78,274
ASSAM,2004,Diploma,11,3,14
ASSAM,2004,Graduate,20,9,29
ASSAM,2004,Post Graduate and Above,12,16,28
ASSAM,2004,Total,1945,894,2839
ASSAM,2005,No Education,358,239,597
ASSAM,2005,Primary,453,211,664
ASSAM,2005,Middle,605,242,847
ASSAM,2005,Matriculate/Secondary,350,145,495
ASSAM,2005,Hr. Secondary/Intermediate/Pre-Universit,130,41,171
ASSAM,2005,Diploma,37,10,47
ASSAM,2005,Graduate,16,7,23
ASSAM,2005,Post Graduate and Above,2,0,2
ASSAM,2005,Total,1951,895,2846
ASSAM,2006,No Education,407,195,602
ASSAM,2006,Primary,445,169,614
ASSAM,2006,Middle,825,381,1206
ASSAM,2006,Matriculate/Secondary,345,134,479
ASSAM,2006,Hr. Secondary/Intermediate/Pre-Universit,72,32,104
ASSAM,2006,Diploma,11,1,12
ASSAM,2006,Graduate,11,3,14
ASSAM,2006,Post Graduate and Above,0,0,0
ASSAM,2006,Total,2116,915,3031
ASSAM,2007,No Education,305,199,504
ASSAM,2007,Primary,398,176,574
ASSAM,2007,Middle,841,386,1227
ASSAM,2007,Matriculate/Secondary,378,137,515
ASSAM,2007,Hr. Secondary/Intermediate/Pre-Universit,144,41,185
ASSAM,2007,Diploma,19,3,22
ASSAM,2007,Graduate,27,3,30
ASSAM,2007,Post Graduate and Above,4,1,5
ASSAM,2007,Total,2116,946,3062
ASSAM,2008,No Education,485,301,786
ASSAM,2008,Primary,395,233,628
ASSAM,2008,Middle,605,284,889
ASSAM,2008,Matriculate/Secondary,318,137,455
ASSAM,2008,Hr. Secondary/Intermediate/Pre-Universit,114,51,165
ASSAM,2008,Diploma,19,8,27
ASSAM,2008,Graduate,34,5,39
ASSAM,2008,Post Graduate and Above,0,0,0
ASSAM,2008,Total,1970,1019,2989
ASSAM,2009,No Education,302,233,535
ASSAM,2009,Primary,355,220,575
ASSAM,2009,Middle,562,351,913
ASSAM,2009,Matriculate/Secondary,426,212,638
ASSAM,2009,Hr. Secondary/Intermediate/Pre-Universit,185,58,243
ASSAM,2009,Diploma,40,5,45
ASSAM,2009,Graduate,10,2,12
ASSAM,2009,Post Graduate and Above,2,3,5
ASSAM,2009,Total,1882,1084,2966
ASSAM,2010,No Education,368,221,589
ASSAM,2010,Primary,346,172,518
ASSAM,2010,Middle,716,282,998
ASSAM,2010,Matriculate/Secondary,362,173,535
ASSAM,2010,Hr. Secondary/Intermediate/Pre-Universit,200,114,314
ASSAM,2010,Diploma,13,1,14
ASSAM,2010,Graduate,19,4,23
ASSAM,2010,Post Graduate and Above,2,0,2
ASSAM,2010,Total,2026,967,2993
ASSAM,2011,No Education,286,199,485
ASSAM,2011,Primary,360,230,590
ASSAM,2011,Middle,568,289,857
ASSAM,2011,Matriculate/Secondary,371,119,490
ASSAM,2011,Hr. Secondary/Intermediate/Pre-Universit,199,51,250
ASSAM,2011,Diploma,8,0,8
ASSAM,2011,Graduate,32,12,44
ASSAM,2011,Post Graduate and Above,2,0,2
ASSAM,2011,Total,1826,900,2726
ASSAM,2012,No Education,265,123,388
ASSAM,2012,Primary,398,171,569
ASSAM,2012,Middle,719,263,982
ASSAM,2012,Matriculate/Secondary,551,193,744
ASSAM,2012,Hr. Secondary/Intermediate/Pre-Universit,368,107,475
ASSAM,2012,Diploma,39,5,44
ASSAM,2012,Graduate,50,10,60
ASSAM,2012,Post Graduate and Above,2,0,2
ASSAM,2012,Total,2392,872,3264
BIHAR,2001,No Education,85,140,225
BIHAR,2001,Primary,46,50,96
BIHAR,2001,Middle,64,53,117
BIHAR,2001,Matriculate/Secondary,73,35,108
BIHAR,2001,Hr. Secondary/Intermediate/Pre-Universit,24,12,36
BIHAR,2001,Diploma,2,3,5
BIHAR,2001,Graduate,11,3,14
BIHAR,2001,Post Graduate and Above,2,0,2
BIHAR,2001,Total,307,296,603
BIHAR,2002,No Education,139,151,290
BIHAR,2002,Primary,109,62,171
BIHAR,2002,Middle,74,47,121
BIHAR,2002,Matriculate/Secondary,76,22,98
BIHAR,2002,Hr. Secondary/Intermediate/Pre-Universit,18,8,26
BIHAR,2002,Diploma,5,0,5
BIHAR,2002,Graduate,3,2,5
BIHAR,2002,Post Graduate and Above,2,2,4
BIHAR,2002,Total,426,294,720
BIHAR,2003,No Education,102,100,202
BIHAR,2003,Primary,66,40,106
BIHAR,2003,Middle,64,42,106
BIHAR,2003,Matriculate/Secondary,77,31,108
BIHAR,2003,Hr. Secondary/Intermediate/Pre-Universit,24,22,46
BIHAR,2003,Diploma,1,0,1
BIHAR,2003,Graduate,16,8,24
BIHAR,2003,Post Graduate and Above,1,5,6
BIHAR,2003,Total,351,248,599
BIHAR,2004,No Education,63,66,129
BIHAR,2004,Primary,38,22,60
BIHAR,2004,Middle,47,31,78
BIHAR,2004,Matriculate/Secondary,48,14,62
BIHAR,2004,Hr. Secondary/Intermediate/Pre-Universit,14,6,20
BIHAR,2004,Diploma,0,0,0
BIHAR,2004,Graduate,1,0,1
BIHAR,2004,Post Graduate and Above,1,0,1
BIHAR,2004,Total,212,139,351
BIHAR,2005,No Education,91,68,159
BIHAR,2005,Primary,52,49,101
BIHAR,2005,Middle,88,46,134
BIHAR,2005,Matriculate/Secondary,61,42,103
BIHAR,2005,Hr. Secondary/Intermediate/Pre-Universit,25,8,33
BIHAR,2005,Diploma,3,0,3
BIHAR,2005,Graduate,7,3,10
BIHAR,2005,Post Graduate and Above,0,0,0
BIHAR,2005,Total,327,216,543
BIHAR,2006,No Education,75,143,218
BIHAR,2006,Primary,59,62,121
BIHAR,2006,Middle,58,34,92
BIHAR,2006,Matriculate/Secondary,68,52,120
BIHAR,2006,Hr. Secondary/Intermediate/Pre-Universit,23,17,40
BIHAR,2006,Diploma,6,2,8
BIHAR,2006,Graduate,10,9,19
BIHAR,2006,Post Graduate and Above,0,0,0
BIHAR,2006,Total,299,319,618
BIHAR,2007,No Education,131,135,266
BIHAR,2007,Primary,96,102,198
BIHAR,2007,Middle,91,77,168
BIHAR,2007,Matriculate/Secondary,111,82,193
BIHAR,2007,Hr. Secondary/Intermediate/Pre-Universit,56,16,72
BIHAR,2007,Diploma,13,6,19
BIHAR,2007,Graduate,32,12,44
BIHAR,2007,Post Graduate and Above,4,1,5
BIHAR,2007,Total,534,431,965
BIHAR,2008,No Education,188,147,335
BIHAR,2008,Primary,151,117,268
BIHAR,2008,Middle,95,78,173
BIHAR,2008,Matriculate/Secondary,122,46,168
BIHAR,2008,Hr. Secondary/Intermediate/Pre-Universit,32,11,43
BIHAR,2008,Diploma,2,0,2
BIHAR,2008,Graduate,18,7,25
BIHAR,2008,Post Graduate and Above,1,0,1
BIHAR,2008,Total,609,406,1015
BIHAR,2009,No Education,155,166,321
BIHAR,2009,Primary,107,139,246
BIHAR,2009,Middle,116,136,252
BIHAR,2009,Matriculate/Secondary,81,57,138
BIHAR,2009,Hr. Secondary/Intermediate/Pre-Universit,43,33,76
BIHAR,2009,Diploma,1,0,1
BIHAR,2009,Graduate,10,4,14
BIHAR,2009,Post Graduate and Above,1,2,3
BIHAR,2009,Total,514,537,1051
BIHAR,2010,No Education,291,172,463
BIHAR,2010,Primary,95,123,218
BIHAR,2010,Middle,144,98,242
BIHAR,2010,Matriculate/Secondary,101,57,158
BIHAR,2010,Hr. Secondary/Intermediate/Pre-Universit,44,34,78
BIHAR,2010,Diploma,10,8,18
BIHAR,2010,Graduate,26,20,46
BIHAR,2010,Post Graduate and Above,1,2,3
BIHAR,2010,Total,712,514,1226
BIHAR,2011,No Education,113,113,226
BIHAR,2011,Primary,99,99,198
BIHAR,2011,Middle,99,62,161
BIHAR,2011,Matriculate/Secondary,63,45,108
BIHAR,2011,Hr. Secondary/Intermediate/Pre-Universit,39,17,56
BIHAR,2011,Diploma,4,2,6
BIHAR,2011,Graduate,20,4,24
BIHAR,2011,Post Graduate and Above,9,7,16
BIHAR,2011,Total,446,349,795
BIHAR,2012,No Education,95,83,178
BIHAR,2012,Primary,73,71,144
BIHAR,2012,Middle,83,61,144
BIHAR,2012,Matriculate/Secondary,124,57,181
BIHAR,2012,Hr. Secondary/Intermediate/Pre-Universit,47,17,64
BIHAR,2012,Diploma,3,2,5
BIHAR,2012,Graduate,20,4,24
BIHAR,2012,Post Graduate and Above,10,9,19
BIHAR,2012,Total,455,304,759
CHHATTISGARH,2001,No Education,598,423,1021
CHHATTISGARH,2001,Primary,686,350,1036
CHHATTISGARH,2001,Middle,637,307,944
CHHATTISGARH,2001,Matriculate/Secondary,380,231,611
CHHATTISGARH,2001,Hr. Secondary/Intermediate/Pre-Universit,244,64,308
CHHATTISGARH,2001,Diploma,51,2,53
CHHATTISGARH,2001,Graduate,37,6,43
CHHATTISGARH,2001,Post Graduate and Above,7,2,9
CHHATTISGARH,2001,Total,2640,1385,4025
CHHATTISGARH,2002,No Education,635,445,1080
CHHATTISGARH,2002,Primary,645,322,967
CHHATTISGARH,2002,Middle,577,284,861
CHHATTISGARH,2002,Matriculate/Secondary,558,201,759
CHHATTISGARH,2002,Hr. Secondary/Intermediate/Pre-Universit,191,58,249
CHHATTISGARH,2002,Diploma,5,1,6
CHHATTISGARH,2002,Graduate,11,4,15
CHHATTISGARH,2002,Post Graduate and Above,7,6,13
CHHATTISGARH,2002,Total,2629,1321,3950
CHHATTISGARH,2003,No Education,772,438,1210
CHHATTISGARH,2003,Primary,693,390,1083
CHHATTISGARH,2003,Middle,564,254,818
CHHATTISGARH,2003,Matriculate/Secondary,402,168,570
CHHATTISGARH,2003,Hr. Secondary/Intermediate/Pre-Universit,133,64,197
CHHATTISGARH,2003,Diploma,2,3,5
CHHATTISGARH,2003,Graduate,23,10,33
CHHATTISGARH,2003,Post Graduate and Above,3,0,3
CHHATTISGARH,2003,Total,2592,1327,3919
CHHATTISGARH,2004,No Education,878,481,1359
CHHATTISGARH,2004,Primary,753,388,1141
CHHATTISGARH,2004,Middle,775,365,1140
CHHATTISGARH,2004,Matriculate/Secondary,410,206,616
CHHATTISGARH,2004,Hr. Secondary/Intermediate/Pre-Universit,136,58,194
CHHATTISGARH,2004,Diploma,4,2,6
CHHATTISGARH,2004,Graduate,25,7,32
CHHATTISGARH,2004,Post Graduate and Above,5,2,7
CHHATTISGARH,2004,Total,2986,1509,4495
CHHATTISGARH,2005,No Education,959,489,1448
CHHATTISGARH,2005,Primary,848,517,1365
CHHATTISGARH,2005,Middle,752,326,1078
CHHATTISGARH,2005,Matriculate/Secondary,423,145,568
CHHATTISGARH,2005,Hr. Secondary/Intermediate/Pre-Universit,242,74,316
CHHATTISGARH,2005,Diploma,20,5,25
CHHATTISGARH,2005,Graduate,49,13,62
CHHATTISGARH,2005,Post Graduate and Above,12,7,19
CHHATTISGARH,2005,Total,3305,1576,4881
CHHATTISGARH,2006,No Education,986,548,1534
CHHATTISGARH,2006,Primary,776,418,1194
CHHATTISGARH,2006,Middle,670,359,1029
CHHATTISGARH,2006,Matriculate/Secondary,422,164,586
CHHATTISGARH,2006,Hr. Secondary/Intermediate/Pre-Universit,165,68,233
CHHATTISGARH,2006,Diploma,4,0,4
CHHATTISGARH,2006,Graduate,35,9,44
CHHATTISGARH,2006,Post Graduate and Above,2,0,2
CHHATTISGARH,2006,Total,3060,1566,4626
CHHATTISGARH,2007,No Education,638,430,1068
CHHATTISGARH,2007,Primary,963,506,1469
CHHATTISGARH,2007,Middle,870,405,1275
CHHATTISGARH,2007,Matriculate/Secondary,499,153,652
CHHATTISGARH,2007,Hr. Secondary/Intermediate/Pre-Universit,239,76,315
CHHATTISGARH,2007,Diploma,9,3,12
CHHATTISGARH,2007,Graduate,36,9,45
CHHATTISGARH,2007,Post Graduate and Above,2,1,3
CHHATTISGARH,2007,Total,3256,1583,4839
CHHATTISGARH,2008,No Education,360,320,680
CHHATTISGARH,2008,Primary,985,552,1537
CHHATTISGARH,2008,Middle,962,470,1432
CHHATTISGARH,2008,Matriculate/Secondary,593,239,832
CHHATTISGARH,2008,Hr. Secondary/Intermediate/Pre-Universit,304,99,403
CHHATTISGARH,2008,Diploma,14,2,16
CHHATTISGARH,2008,Graduate,26,12,38
CHHATTISGARH,2008,Post Graduate and Above,4,3,7
CHHATTISGARH,2008,Total,3248,1697,4945
CHHATTISGARH,2009,No Education,1037,549,1586
CHHATTISGARH,2009,Primary,978,510,1488
CHHATTISGARH,2009,Middle,992,544,1536
CHHATTISGARH,2009,Matriculate/Secondary,617,248,865
CHHATTISGARH,2009,Hr. Secondary/Intermediate/Pre-Universit,290,69,359
CHHATTISGARH,2009,Diploma,9,3,12
CHHATTISGARH,2009,Graduate,26,6,32
CHHATTISGARH,2009,Post Graduate and Above,5,0,5
CHHATTISGARH,2009,Total,3954,1929,5883
CHHATTISGARH,2010,No Education,1167,486,1653
CHHATTISGARH,2010,Primary,1256,550,1806
CHHATTISGARH,2010,Middle,1188,597,1785
CHHATTISGARH,2010,Matriculate/Secondary,660,258,918
CHHATTISGARH,2010,Hr. Secondary/Intermediate/Pre-Universit,227,67,294
CHHATTISGARH,2010,Diploma,7,1,8
CHHATTISGARH,2010,Graduate,33,17,50
CHHATTISGARH,2010,Post Graduate and Above,7,1,8
CHHATTISGARH,2010,Total,4545,1977,6522
CHHATTISGARH,2011,No Education,963,692,1655
