0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ANDHRA PRADESH,2001,Total,173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,10522
ANDHRA PRADESH,2001,Total Illness,49,600,791,689,181,2310,54,534,452,352,121,1513,3823
ANDHRA PRADESH,2002,Bankruptcy or Sudden change in Economic Status,0,26,56,40,6,128,0,4,7,1,0,12,140
ANDHRA PRADESH,2002,Suspected/Illicit Relation,0,18,10,3,0,31,0,12,11,0,0,23,54
ANDHRA PRADESH,2002,Cancellation/Non-Settlement of Marriage,0,19,4,1,0,24,0,24,6,0,0,30,54
ANDHRA PRADESH,2002,Not having Children (Barrenness/Impotency,0,2,2,0,0,4,0,12,11,0,0,23,27
ANDHRA PRADESH,2002,Illness (Aids/STD),3,47,99,44,18,211,2,43,62,10,17,134,345
ANDHRA PRADESH,2002,Cancer,1,2,10,18,14,45,0,6,17,9,8,40,85
ANDHRA PRADESH,2002,Paralysis,0,10,8,9,12,39,0,0,0,2,2,4,43
ANDHRA PRADESH,2002,Insanity/Mental Illness,5,135,162,82,38,422,8,74,111,60,17,270,692
ANDHRA PRADESH,2002,Other Prolonged Illness,17,418,707,783,213,2138,23,397,335,209,83,1047,3185
ANDHRA PRADESH,2002,Death of Dear Person,1,2,12,3,0,18,1,9,2,1,0,13,31
ANDHRA PRADESH,2002,Dowry Dispute,0,10,2,0,0,12,0,229,17,4,0,250,262
ANDHRA PRADESH,2002,Divorce,0,2,0,0,0,2,0,3,8,1,0,12,14
ANDHRA PRADESH,2002,Drug Abuse/Addiction,0,3,8,7,0,18,0,1,0,0,0,1,19
ANDHRA PRADESH,2002,Failure in Examination,17,147,5,0,0,169,7,78,8,0,0,93,262
ANDHRA PRADESH,2002,Fall in Social Reputation,1,10,10,7,1,29,1,8,4,0,0,13,42
ANDHRA PRADESH,2002,Family Problems,17,440,601,349,71,1478,33,325,295,134,29,816,2294
ANDHRA PRADESH,2002,Ideological Causes/Hero Worshipping,0,0,2,1,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2002,Illegitimate Pregnancy,0,0,0,0,0,0,0,13,0,0,0,13,13
ANDHRA PRADESH,2002,Love Affairs,0,109,52,3,0,164,4,75,13,0,0,92,256
ANDHRA PRADESH,2002,"Physical Abuse (Rape,Incest Etc.)",0,10,8,4,0,22,1,5,2,0,0,8,30
ANDHRA PRADESH,2002,Poverty,3,114,213,152,35,517,4,27,57,21,4,113,630
ANDHRA PRADESH,2002,Professional/Career Problem,0,1,4,0,0,5,0,1,2,0,0,3,8
ANDHRA PRADESH,2002,Property Dispute,3,23,32,52,17,127,0,6,25,3,12,46,173
ANDHRA PRADESH,2002,Unemployment,0,50,27,9,0,86,0,3,1,0,0,4,90
ANDHRA PRADESH,2002,Causes Not known,13,215,249,134,46,657,14,117,61,41,17,250,907
ANDHRA PRADESH,2002,Other Causes (Please Specity),20,360,548,234,60,1222,41,332,319,76,44,812,2034
ANDHRA PRADESH,2002,Total,101,2173,2831,1935,531,7571,139,1804,1374,572,233,4122,11693
ANDHRA PRADESH,2002,Total Illness,26,612,986,936,295,2855,33,520,525,290,127,1495,4350
ANDHRA PRADESH,2003,Bankruptcy or Sudden change in Economic,2,36,103,55,6,202,1,5,19,5,1,31,233
ANDHRA PRADESH,2003,Suspected/Illicit Relation,1,22,32,14,0,69,2,18,24,3,0,47,116
ANDHRA PRADESH,2003,Cancellation/Non-Settlement of Marriage,1,15,7,3,0,26,1,17,6,0,0,24,50
ANDHRA PRADESH,2003,Not having Children(Barrenness/Impotency,0,2,3,1,0,6,0,15,11,0,0,26,32
ANDHRA PRADESH,2003,Illness (Aids/STD),4,73,95,43,14,229,7,94,53,15,8,177,406
ANDHRA PRADESH,2003,Cancer,0,23,33,15,4,75,0,18,24,16,2,60,135
ANDHRA PRADESH,2003,Paralysis,0,3,2,4,3,12,0,0,1,0,2,3,15
ANDHRA PRADESH,2003,Insanity/Mental Illness,7,159,247,94,28,535,20,108,101,56,14,299,834
ANDHRA PRADESH,2003,Other Prolonged Illness,17,345,488,530,201,1581,31,296,276,209,67,879,2460
ANDHRA PRADESH,2003,Death of Dear Person,0,8,6,18,4,36,0,1,3,5,3,12,48
ANDHRA PRADESH,2003,Dowry Dispute,0,2,28,19,0,49,6,239,33,6,0,284,333
ANDHRA PRADESH,2003,Divorce,0,1,2,0,0,3,0,5,5,7,0,17,20
ANDHRA PRADESH,2003,Drug Abuse/Addiction,0,3,18,9,1,31,0,0,0,0,0,0,31
ANDHRA PRADESH,2003,Failure in Examination,17,109,11,0,0,137,22,71,8,0,0,101,238
ANDHRA PRADESH,2003,Fall in Social Reputation,1,11,29,20,5,66,3,9,13,6,1,32,98
ANDHRA PRADESH,2003,Family Problems,31,494,625,293,78,1521,34,332,334,150,33,883,2404
ANDHRA PRADESH,2003,Ideological Causes/Hero Worshipping,0,11,30,14,5,60,2,19,4,3,0,28,88
ANDHRA PRADESH,2003,Illegitimate Pregnancy,0,0,0,0,0,0,0,20,3,0,0,23,23
ANDHRA PRADESH,2003,Love Affairs,6,119,31,1,0,157,2,80,16,1,0,99,256
ANDHRA PRADESH,2003,"Physical Abuse (Rape,Incest Etc.)",0,6,25,0,0,31,3,12,4,0,0,19,50
ANDHRA PRADESH,2003,Poverty,11,125,249,161,22,568,5,38,54,18,12,127,695
ANDHRA PRADESH,2003,Professional/Career Problem,0,0,19,10,1,30,0,2,6,2,3,13,43
ANDHRA PRADESH,2003,Property Dispute,0,29,59,41,7,136,1,12,25,8,2,48,184
ANDHRA PRADESH,2003,Unemployment,0,52,39,4,0,95,0,7,10,0,0,17,112
ANDHRA PRADESH,2003,Causes Not known,27,200,208,117,40,592,27,92,52,32,19,222,814
ANDHRA PRADESH,2003,Other Causes (Please Specity),30,422,457,279,78,1266,30,175,119,67,34,425,1691
ANDHRA PRADESH,2003,Total,155,2270,2846,1745,497,7513,197,1685,1204,609,201,3896,11409
ANDHRA PRADESH,2003,Total Illness,28,603,865,686,250,2432,58,516,455,296,93,1418,3850
ANDHRA PRADESH,2004,Bankruptcy or Sudden change in Economic,0,120,331,196,38,685,0,19,19,23,5,66,751
ANDHRA PRADESH,2004,Suspected/Illicit Relation,0,31,29,6,0,66,1,33,19,6,0,59,125
ANDHRA PRADESH,2004,Cancellation/Non-Settlement of Marriage,0,16,4,0,1,21,0,19,2,0,0,21,42
ANDHRA PRADESH,2004,Not having Children(Barrenness/Impotency,0,0,5,6,0,11,0,22,17,3,0,42,53
ANDHRA PRADESH,2004,Illness (Aids/STD),1,77,89,36,23,226,7,82,51,12,6,158,384
ANDHRA PRADESH,2004,Cancer,0,4,47,25,10,86,0,8,18,24,4,54,140
ANDHRA PRADESH,2004,Paralysis,0,0,3,19,18,40,0,5,14,8,9,36,76
ANDHRA PRADESH,2004,Insanity/Mental Illness,2,79,170,137,33,421,5,82,92,43,17,239,660
ANDHRA PRADESH,2004,Other Prolonged Illness,8,463,553,356,195,1575,29,438,344,165,70,1046,2621
ANDHRA PRADESH,2004,Death of Dear Person,0,8,16,20,12,56,0,9,5,1,6,21,77
ANDHRA PRADESH,2004,Dowry Dispute,0,4,2,0,2,8,0,223,57,5,0,285,293
ANDHRA PRADESH,2004,Divorce,0,4,1,4,0,9,0,6,5,1,0,12,21
ANDHRA PRADESH,2004,Drug Abuse/Addiction,0,19,18,9,1,47,0,0,2,3,0,5,52
ANDHRA PRADESH,2004,Failure in Examination,8,90,16,0,0,114,16,52,7,0,0,75,189
ANDHRA PRADESH,2004,Fall in Social Reputation,0,5,24,7,7,43,0,3,2,6,0,11,54
ANDHRA PRADESH,2004,Family Problems,21,534,674,367,76,1672,26,433,299,112,35,905,2577
ANDHRA PRADESH,2004,Ideological Causes/Hero Worshipping,0,2,1,0,0,3,2,1,1,0,0,4,7
ANDHRA PRADESH,2004,Illegitimate Pregnancy,0,0,0,0,0,0,0,12,1,0,0,13,13
ANDHRA PRADESH,2004,Love Affairs,1,139,32,11,0,183,7,95,11,1,0,114,297
ANDHRA PRADESH,2004,"Physical Abuse (Rape,Incest Etc.)",0,1,2,0,0,3,0,6,12,2,0,20,23
ANDHRA PRADESH,2004,Poverty,4,191,392,360,101,1048,4,82,99,82,27,294,1342
ANDHRA PRADESH,2004,Professional/Career Problem,0,13,33,33,19,98,0,2,14,2,0,18,116
ANDHRA PRADESH,2004,Property Dispute,0,51,87,59,7,204,0,12,22,8,4,46,250
ANDHRA PRADESH,2004,Unemployment,0,51,65,25,0,141,0,9,8,1,0,18,159
ANDHRA PRADESH,2004,Causes Not known,10,200,256,172,93,731,10,94,68,42,31,245,976
ANDHRA PRADESH,2004,Other Causes (Please Specity),40,460,598,327,166,1591,35,212,155,139,96,637,2228
ANDHRA PRADESH,2004,Total,95,2562,3448,2175,802,9082,142,1959,1344,689,310,4444,13526
ANDHRA PRADESH,2004,Total Illness,11,623,862,573,279,2348,41,615,519,252,106,1533,3881
ANDHRA PRADESH,2005,Bankruptcy or Sudden change in Economic,2,163,363,221,49,798,2,30,44,22,3,101,899
ANDHRA PRADESH,2005,Suspected/Illicit Relation,0,17,9,5,4,35,1,11,23,2,0,37,72
ANDHRA PRADESH,2005,Cancellation/Non-Settlement of Marriage,0,19,1,0,0,20,1,20,3,1,0,25,45
ANDHRA PRADESH,2005,Not having Children(Barrenness/Impotency,0,2,2,0,0,4,0,21,13,4,0,38,42
ANDHRA PRADESH,2005,Illness (Aids/STD),6,87,157,105,47,402,12,161,76,38,27,314,716
ANDHRA PRADESH,2005,Cancer,0,18,13,37,21,89,0,3,2,21,36,62,151
ANDHRA PRADESH,2005,Paralysis,0,10,34,36,59,139,1,13,7,15,23,59,198
ANDHRA PRADESH,2005,Insanity/Mental Illness,1,101,204,122,64,492,5,103,110,73,39,330,822
ANDHRA PRADESH,2005,Other Prolonged Illness,17,368,405,369,196,1355,40,385,300,189,92,1006,2361
ANDHRA PRADESH,2005,Death of Dear Person,0,16,20,17,15,68,0,5,9,5,2,21,89
ANDHRA PRADESH,2005,Dowry Dispute,0,0,0,0,0,0,0,166,66,1,0,233,233
ANDHRA PRADESH,2005,Divorce,0,1,3,0,0,4,0,4,4,0,0,8,12
ANDHRA PRADESH,2005,Drug Abuse/Addiction,0,1,10,6,0,17,0,2,0,0,0,2,19
ANDHRA PRADESH,2005,Failure in Examination,5,107,15,2,0,129,12,91,4,0,0,107,236
ANDHRA PRADESH,2005,Fall in Social Reputation,0,7,3,22,2,34,0,3,3,1,0,7,41
ANDHRA PRADESH,2005,Family Problems,30,516,625,362,111,1644,36,387,298,155,92,968,2612
ANDHRA PRADESH,2005,Ideological Causes/Hero Worshipping,0,0,2,1,2,5,0,1,2,1,0,4,9
ANDHRA PRADESH,2005,Illegitimate Pregnancy,0,0,0,0,0,0,0,11,0,0,0,11,11
ANDHRA PRADESH,2005,Love Affairs,2,97,26,4,0,129,3,107,15,0,0,125,254
ANDHRA PRADESH,2005,"Physical Abuse (Rape,Incest Etc.)",0,1,0,1,0,2,1,1,0,1,0,3,5
ANDHRA PRADESH,2005,Poverty,3,164,303,299,117,886,4,54,87,58,30,233,1119
ANDHRA PRADESH,2005,Professional/Career Problem,0,2,1,1,0,4,0,0,0,0,0,0,4
ANDHRA PRADESH,2005,Property Dispute,2,28,41,33,5,109,1,4,17,15,1,38,147
ANDHRA PRADESH,2005,Unemployment,0,57,37,10,0,104,0,6,4,0,0,10,114
ANDHRA PRADESH,2005,Causes Not known,22,171,196,137,94,620,8,91,71,29,12,211,831
ANDHRA PRADESH,2005,Other Causes (Please Specity),53,491,708,366,158,1776,34,224,202,102,62,624,2400
ANDHRA PRADESH,2005,Total,143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,13442
ANDHRA PRADESH,2005,Total Illness,24,584,813,669,387,2477,58,665,495,336,217,1771,4248
ANDHRA PRADESH,2006,Bankruptcy or Sudden change in Economic,2,142,354,252,63,813,0,34,62,23,12,131,944
ANDHRA PRADESH,2006,Suspected/Illicit Relation,0,11,21,1,0,33,1,22,16,0,0,39,72
ANDHRA PRADESH,2006,Cancellation/Non-Settlement of Marriage,0,13,5,1,0,19,0,40,9,1,0,50,69
ANDHRA PRADESH,2006,Not having Children(Barrenness/Impotency,0,2,4,2,0,8,0,22,13,2,0,37,45
ANDHRA PRADESH,2006,Illness (Aids/STD),0,78,109,36,25,248,9,95,66,22,4,196,444
ANDHRA PRADESH,2006,Cancer,0,27,16,15,7,65,2,4,23,2,1,32,97
ANDHRA PRADESH,2006,Paralysis,0,1,23,36,17,77,0,7,7,2,14,30,107
ANDHRA PRADESH,2006,Insanity/Mental Illness,12,133,140,129,49,463,38,118,97,33,26,312,775
ANDHRA PRADESH,2006,Other Prolonged Illness,35,492,571,411,212,1721,33,488,335,126,84,1066,2787
ANDHRA PRADESH,2006,Death of Dear Person,2,11,9,9,1,32,0,3,5,3,3,14,46
ANDHRA PRADESH,2006,Dowry Dispute,0,6,1,0,0,7,0,139,32,0,0,171,178
ANDHRA PRADESH,2006,Divorce,0,5,2,0,0,7,0,5,4,1,0,10,17
ANDHRA PRADESH,2006,Drug Abuse/Addiction,0,11,15,9,6,41,0,0,0,0,1,1,42
ANDHRA PRADESH,2006,Failure in Examination,12,99,12,0,0,123,7,83,0,0,0,90,213
ANDHRA PRADESH,2006,Fall in Social Reputation,0,7,11,8,2,28,3,8,7,3,0,21,49
ANDHRA PRADESH,2006,Family Problems,17,624,647,352,80,1720,28,446,275,97,34,880,2600
ANDHRA PRADESH,2006,Ideological Causes/Hero Worshipping,0,2,3,0,0,5,1,1,0,0,0,2,7
ANDHRA PRADESH,2006,Illegitimate Pregnancy,0,0,0,0,0,0,0,5,0,0,0,5,5
ANDHRA PRADESH,2006,Love Affairs,7,128,32,11,0,178,3,87,10,1,0,101,279
ANDHRA PRADESH,2006,"Physical Abuse (Rape,Incest Etc.)",0,0,3,1,0,4,0,3,1,1,0,5,9
ANDHRA PRADESH,2006,Poverty,11,142,362,229,40,784,17,52,67,74,26,236,1020
ANDHRA PRADESH,2006,Professional/Career Problem,0,22,22,22,6,72,0,1,13,2,0,16,88
ANDHRA PRADESH,2006,Property Dispute,1,38,77,29,4,149,1,8,8,2,2,21,170
ANDHRA PRADESH,2006,Unemployment,0,55,38,17,2,112,0,9,6,0,0,15,127
ANDHRA PRADESH,2006,Causes Not known,11,210,261,171,72,725,11,68,54,35,20,188,913
ANDHRA PRADESH,2006,Other Causes (Please Specity),59,437,540,291,102,1429,41,239,247,153,64,744,2173
ANDHRA PRADESH,2006,Total,169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,13276
ANDHRA PRADESH,2006,Total Illness,47,731,859,627,310,2574,82,712,528,185,129,1636,4210
ANDHRA PRADESH,2007,Bankruptcy or Sudden change in Economic,0,115,324,200,109,748,1,36,31,25,1,94,842
ANDHRA PRADESH,2007,Suspected/Illicit Relation,0,24,22,2,2,50,1,19,15,0,0,35,85
ANDHRA PRADESH,2007,Cancellation/Non-Settlement of Marriage,0,12,2,0,0,14,1,36,6,0,0,43,57
ANDHRA PRADESH,2007,Not having Children(Barrenness/Impotency,0,6,6,4,0,16,0,22,8,6,0,36,52
ANDHRA PRADESH,2007,Illness (Aids/STD),3,58,101,48,58,268,2,43,71,56,9,181,449
ANDHRA PRADESH,2007,Cancer,1,22,36,22,42,123,0,2,33,10,12,57,180
ANDHRA PRADESH,2007,Paralysis,0,1,16,31,27,75,0,2,17,19,21,59,134
ANDHRA PRADESH,2007,Insanity/Mental Illness,9,151,241,206,74,681,20,176,104,61,40,401,1082
ANDHRA PRADESH,2007,Other Prolonged Illness,23,500,585,406,188,1702,32,492,310,153,95,1082,2784
ANDHRA PRADESH,2007,Death of Dear Person,0,8,12,1,1,22,2,8,2,3,3,18,40
ANDHRA PRADESH,2007,Dowry Dispute,0,0,0,0,0,0,0,177,24,2,0,203,203
ANDHRA PRADESH,2007,Divorce,0,1,2,0,0,3,0,1,2,0,0,3,6
ANDHRA PRADESH,2007,Drug Abuse/Addiction,0,8,19,8,6,41,0,1,3,0,0,4,45
ANDHRA PRADESH,2007,Failure in Examination,10,103,15,0,0,128,23,69,2,8,0,102,230
ANDHRA PRADESH,2007,Fall in Social Reputation,2,8,12,2,2,26,0,5,6,2,0,13,39
ANDHRA PRADESH,2007,Family Problems,20,620,702,374,91,1807,31,384,286,122,30,853,2660
ANDHRA PRADESH,2007,Ideological Causes/Hero Worshipping,0,1,4,1,0,6,0,1,0,0,0,1,7
ANDHRA PRADESH,2007,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,2007,Love Affairs,6,135,51,1,0,193,16,103,4,0,0,123,316
ANDHRA PRADESH,2007,"Physical Abuse (Rape,Incest Etc.)",0,4,1,0,0,5,2,5,1,0,0,8,13
ANDHRA PRADESH,2007,Poverty,7,182,395,275,109,968,3,46,96,77,15,237,1205
ANDHRA PRADESH,2007,Professional/Career Problem,0,21,70,29,5,125,1,16,9,3,1,30,155
ANDHRA PRADESH,2007,Property Dispute,0,34,52,31,12,129,2,11,11,0,2,26,155
ANDHRA PRADESH,2007,Unemployment,0,77,93,57,0,227,7,38,11,3,0,59,286
ANDHRA PRADESH,2007,Causes Not known,10,274,294,207,86,871,13,146,97,74,48,378,1249
ANDHRA PRADESH,2007,Other Causes (Please Specity),30,571,605,399,116,1721,37,299,301,180,69,886,2607
ANDHRA PRADESH,2007,Total,121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,14882
ANDHRA PRADESH,2007,Total Illness,36,732,979,713,389,2849,54,715,535,299,177,1780,4629
ANDHRA PRADESH,2008,Bankruptcy or Sudden change in Economic,0,104,271,158,45,578,0,20,36,21,6,83,661
ANDHRA PRADESH,2008,Suspected/Illicit Relation,0,18,26,6,0,50,0,13,19,0,0,32,82
ANDHRA PRADESH,2008,Cancellation/Non-Settlement of Marriage,0,26,8,0,0,34,0,26,2,0,0,28,62
ANDHRA PRADESH,2008,Not having Children(Barrenness/Impotency,0,1,6,3,1,11,0,16,25,6,0,47,58
ANDHRA PRADESH,2008,Illness (Aids/STD),1,16,75,130,23,245,0,12,52,38,5,107,352
ANDHRA PRADESH,2008,Cancer,0,7,8,14,8,37,0,1,12,5,0,18,55
ANDHRA PRADESH,2008,Paralysis,0,5,12,25,61,103,0,10,5,4,9,28,131
ANDHRA PRADESH,2008,Insanity/Mental Illness,8,141,239,149,80,617,12,155,95,73,45,380,997
ANDHRA PRADESH,2008,Other Prolonged Illness,9,437,644,440,168,1698,16,503,393,144,114,1170,2868
ANDHRA PRADESH,2008,Death of Dear Person,0,2,2,7,3,14,0,2,3,6,1,12,26
ANDHRA PRADESH,2008,Dowry Dispute,0,4,0,0,0,4,0,112,29,8,0,149,153
ANDHRA PRADESH,2008,Divorce,0,3,6,6,0,15,0,6,7,1,0,14,29
ANDHRA PRADESH,2008,Drug Abuse/Addiction,0,13,20,13,1,47,0,1,2,0,0,3,50
ANDHRA PRADESH,2008,Failure in Examination,13,131,4,0,0,148,12,62,0,1,0,75,223
ANDHRA PRADESH,2008,Fall in Social Reputation,0,9,25,14,5,53,3,0,1,1,0,5,58
ANDHRA PRADESH,2008,Family Problems,5,584,715,371,84,1759,24,351,347,103,38,863,2622
ANDHRA PRADESH,2008,Ideological Causes/Hero Worshipping,0,0,2,1,2,5,0,0,0,2,1,3,8
ANDHRA PRADESH,2008,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,7,0,0,7,7
ANDHRA PRADESH,2008,Love Affairs,0,120,21,0,0,141,10,93,17,2,0,122,263
ANDHRA PRADESH,2008,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,1,0,0,0,1,1
ANDHRA PRADESH,2008,Poverty,3,238,431,394,95,1161,5,127,126,71,15,344,1505
ANDHRA PRADESH,2008,Professional/Career Problem,0,25,56,60,18,159,2,18,10,14,2,46,205
ANDHRA PRADESH,2008,Property Dispute,0,14,40,37,2,93,0,10,7,6,1,24,117
ANDHRA PRADESH,2008,Unemployment,0,55,27,1,0,83,0,6,2,0,0,8,91
ANDHRA PRADESH,2008,Causes Not known,8,185,215,156,40,604,5,65,53,28,13,164,768
ANDHRA PRADESH,2008,Other Causes (Please Specity),44,576,816,492,134,2062,33,272,334,204,57,900,2962
ANDHRA PRADESH,2008,Total,91,2714,3669,2477,770,9721,122,1882,1584,738,307,4633,14354
ANDHRA PRADESH,2008,Total Illness,18,606,978,758,340,2700,28,681,557,264,173,1703,4403
ANDHRA PRADESH,2009,Bankruptcy or Sudden change in Economic,1,143,403,176,38,761,7,34,65,16,5,127,888
ANDHRA PRADESH,2009,Suspected/Illicit Relation,0,7,18,1,1,27,0,19,15,1,0,35,62
ANDHRA PRADESH,2009,Cancellation/Non-Settlement of Marriage,0,18,3,0,0,21,0,23,4,2,0,29,50
ANDHRA PRADESH,2009,Not having Children(Barrenness/Impotency,0,1,10,2,0,13,0,20,18,3,0,41,54
ANDHRA PRADESH,2009,Illness (Aids/STD),0,30,71,24,6,131,0,7,5,11,0,23,154
ANDHRA PRADESH,2009,Cancer,0,7,9,11,9,36,0,7,10,3,6,26,62
ANDHRA PRADESH,2009,Paralysis,0,7,15,20,54,96,0,4,13,8,17,42,138
ANDHRA PRADESH,2009,Insanity/Mental Illness,6,132,190,101,71,500,3,132,88,49,49,321,821
ANDHRA PRADESH,2009,Other Prolonged Illness,10,422,608,596,248,1884,14,435,342,229,90,1110,2994
ANDHRA PRADESH,2009,Death of Dear Person,0,2,31,26,9,68,1,8,2,7,5,23,91
ANDHRA PRADESH,2009,Dowry Dispute,0,1,10,5,0,16,0,146,12,2,0,160,176
ANDHRA PRADESH,2009,Divorce,0,1,1,11,0,13,0,2,7,3,0,12,25
ANDHRA PRADESH,2009,Drug Abuse/Addiction,0,25,31,14,4,74,0,0,0,2,1,3,77
ANDHRA PRADESH,2009,Failure in Examination,8,114,13,0,0,135,9,65,4,0,0,78,213
ANDHRA PRADESH,2009,Fall in Social Reputation,0,11,41,13,4,69,0,21,15,20,5,61,130
ANDHRA PRADESH,2009,Family Problems,9,503,716,359,48,1635,24,360,290,176,24,874,2509
ANDHRA PRADESH,2009,Ideological Causes/Hero Worshipping,0,18,5,69,0,92,0,1,1,0,0,2,94
ANDHRA PRADESH,2009,Illegitimate Pregnancy,0,0,0,0,0,0,0,3,1,0,0,4,4
ANDHRA PRADESH,2009,Love Affairs,4,112,22,0,0,138,6,81,11,0,0,98,236
ANDHRA PRADESH,2009,"Physical Abuse (Rape,Incest Etc.)",0,1,1,1,0,3,0,1,0,0,0,1,4
ANDHRA PRADESH,2009,Poverty,0,218,456,401,94,1169,2,92,124,90,37,345,1514
ANDHRA PRADESH,2009,Professional/Career Problem,0,6,18,68,12,104,0,3,3,11,0,17,121
ANDHRA PRADESH,2009,Property Dispute,0,40,37,24,1,102,0,11,7,3,0,21,123
ANDHRA PRADESH,2009,Unemployment,0,95,60,79,0,234,0,14,8,2,0,24,258
ANDHRA PRADESH,2009,Causes Not known,3,239,289,165,79,775,11,75,78,32,19,215,990
ANDHRA PRADESH,2009,Other Causes (Please Specity),26,574,664,420,107,1791,50,370,297,159,45,921,2712
ANDHRA PRADESH,2009,Total,67,2727,3722,2586,785,9887,127,1934,1420,829,303,4613,14500
ANDHRA PRADESH,2009,Total Illness,16,598,893,752,388,2647,17,585,458,300,162,1522,4169
ANDHRA PRADESH,2010,Bankruptcy or Sudden change in Economic,0,124,304,157,31,616,0,34,47,8,6,95,711
ANDHRA PRADESH,2010,Suspected/Illicit Relation,0,20,32,3,0,55,2,38,28,5,0,73,128
ANDHRA PRADESH,2010,Cancellation/Non-Settlement of Marriage,0,33,15,2,0,50,0,32,7,2,1,42,92
ANDHRA PRADESH,2010,Not having Children(Barrenness/Impotency,0,2,1,0,0,3,0,24,16,0,0,40,43
ANDHRA PRADESH,2010,Illness (Aids/STD),0,52,43,32,3,130,0,36,25,12,5,78,208
ANDHRA PRADESH,2010,Cancer,0,15,27,32,4,78,0,13,36,18,5,72,150
ANDHRA PRADESH,2010,Paralysis,0,6,12,28,24,70,0,4,7,5,10,26,96
ANDHRA PRADESH,2010,Insanity/Mental Illness,3,199,222,121,69,614,20,143,106,52,37,358,972
ANDHRA PRADESH,2010,Other Prolonged Illness,25,569,613,617,335,2159,24,452,338,250,196,1260,3419
ANDHRA PRADESH,2010,Death of Dear Person,0,22,22,12,5,61,2,22,8,3,3,38,99
ANDHRA PRADESH,2010,Dowry Dispute,0,3,0,0,0,3,0,86,19,3,0,108,111
ANDHRA PRADESH,2010,Divorce,0,3,3,0,0,6,0,9,8,8,0,25,31
ANDHRA PRADESH,2010,Drug Abuse/Addiction,0,20,34,35,7,96,0,2,3,1,2,8,104
ANDHRA PRADESH,2010,Failure in Examination,15,145,0,0,0,160,15,74,0,0,0,89,249
ANDHRA PRADESH,2010,Fall in Social Reputation,0,59,54,29,9,151,0,43,20,7,1,71,222
ANDHRA PRADESH,2010,Family Problems,0,651,698,392,74,1815,0,417,284,102,53,856,2671
