State/UT,Year,Social Status,Male,Female,Total
BIHAR,2003,Married,217,155,372
BIHAR,2003,Widowed/Widower,11,10,21
BIHAR,2003,Divorcee,3,6,9
BIHAR,2003,Seperated,7,14,21
BIHAR,2003,Total,351,248,599
BIHAR,2004,Never Married,53,28,81
BIHAR,2004,Married,136,98,234
BIHAR,2004,Widowed/Widower,20,12,32
BIHAR,2004,Divorcee,1,1,2
BIHAR,2004,Seperated,2,0,2
BIHAR,2004,Total,212,139,351
BIHAR,2005,Never Married,78,39,117
BIHAR,2005,Married,223,163,386
BIHAR,2005,Widowed/Widower,18,4,22
BIHAR,2005,Divorcee,4,7,11
BIHAR,2005,Seperated,4,3,7
BIHAR,2005,Total,327,216,543
BIHAR,2006,Never Married,91,72,163
BIHAR,2006,Married,151,197,348
BIHAR,2006,Widowed/Widower,26,32,58
BIHAR,2006,Divorcee,8,7,15
BIHAR,2006,Seperated,23,11,34
BIHAR,2006,Total,299,319,618
BIHAR,2007,Never Married,173,133,306
BIHAR,2007,Married,310,246,556
BIHAR,2007,Widowed/Widower,38,30,68
BIHAR,2007,Divorcee,1,16,17
BIHAR,2007,Seperated,12,6,18
BIHAR,2007,Total,534,431,965
BIHAR,2008,Never Married,174,107,281
BIHAR,2008,Married,361,256,617
BIHAR,2008,Widowed/Widower,32,21,53
BIHAR,2008,Divorcee,15,10,25
BIHAR,2008,Seperated,27,12,39
BIHAR,2008,Total,609,406,1015
BIHAR,2009,Never Married,155,112,267
BIHAR,2009,Married,327,389,716
BIHAR,2009,Widowed/Widower,25,32,57
BIHAR,2009,Divorcee,5,3,8
BIHAR,2009,Seperated,2,1,3
BIHAR,2009,Total,514,537,1051
BIHAR,2010,Never Married,155,149,304
BIHAR,2010,Married,495,283,778
BIHAR,2010,Widowed/Widower,20,33,53
BIHAR,2010,Divorcee,12,8,20
BIHAR,2010,Seperated,30,41,71
BIHAR,2010,Total,712,514,1226
BIHAR,2011,Never Married,125,85,210
BIHAR,2011,Married,281,229,510
BIHAR,2011,Widowed/Widower,24,14,38
BIHAR,2011,Divorcee,0,4,4
BIHAR,2011,Seperated,16,17,33
BIHAR,2011,Total,446,349,795
BIHAR,2012,Never Married,95,82,177
BIHAR,2012,Married,316,198,514
BIHAR,2012,Widowed/Widower,24,8,32
BIHAR,2012,Divorcee,0,0,0
BIHAR,2012,Seperated,20,16,36
BIHAR,2012,Total,455,304,759
CHHATTISGARH,2001,Never Married,539,291,830
CHHATTISGARH,2001,Married,1979,1014,2993
CHHATTISGARH,2001,Widowed/Widower,104,65,169
CHHATTISGARH,2001,Divorcee,9,7,16
CHHATTISGARH,2001,Seperated,9,8,17
CHHATTISGARH,2001,Total,2640,1385,4025
CHHATTISGARH,2002,Never Married,498,295,793
CHHATTISGARH,2002,Married,1957,945,2902
CHHATTISGARH,2002,Widowed/Widower,139,67,206
CHHATTISGARH,2002,Divorcee,25,7,32
CHHATTISGARH,2002,Seperated,10,7,17
CHHATTISGARH,2002,Total,2629,1321,3950
CHHATTISGARH,2003,Never Married,544,312,856
CHHATTISGARH,2003,Married,1854,846,2700
CHHATTISGARH,2003,Widowed/Widower,182,154,336
CHHATTISGARH,2003,Divorcee,2,3,5
CHHATTISGARH,2003,Seperated,10,12,22
CHHATTISGARH,2003,Total,2592,1327,3919
CHHATTISGARH,2004,Never Married,647,367,1014
CHHATTISGARH,2004,Married,2247,1028,3275
CHHATTISGARH,2004,Widowed/Widower,56,84,140
CHHATTISGARH,2004,Divorcee,3,8,11
CHHATTISGARH,2004,Seperated,33,22,55
CHHATTISGARH,2004,Total,2986,1509,4495
CHHATTISGARH,2005,Never Married,519,332,851
CHHATTISGARH,2005,Married,2672,1130,3802
CHHATTISGARH,2005,Widowed/Widower,82,78,160
CHHATTISGARH,2005,Divorcee,15,10,25
CHHATTISGARH,2005,Seperated,17,26,43
CHHATTISGARH,2005,Total,3305,1576,4881
CHHATTISGARH,2006,Never Married,766,431,1197
CHHATTISGARH,2006,Married,2216,1047,3263
CHHATTISGARH,2006,Widowed/Widower,70,83,153
CHHATTISGARH,2006,Divorcee,0,0,0
CHHATTISGARH,2006,Seperated,8,5,13
CHHATTISGARH,2006,Total,3060,1566,4626
CHHATTISGARH,2007,Never Married,646,327,973
CHHATTISGARH,2007,Married,2520,1179,3699
CHHATTISGARH,2007,Widowed/Widower,78,69,147
CHHATTISGARH,2007,Divorcee,2,3,5
CHHATTISGARH,2007,Seperated,10,5,15
CHHATTISGARH,2007,Total,3256,1583,4839
CHHATTISGARH,2008,Never Married,698,379,1077
CHHATTISGARH,2008,Married,2430,1149,3579
CHHATTISGARH,2008,Widowed/Widower,93,148,241
CHHATTISGARH,2008,Divorcee,4,6,10
CHHATTISGARH,2008,Seperated,23,15,38
CHHATTISGARH,2008,Total,3248,1697,4945
CHHATTISGARH,2009,Never Married,746,408,1154
CHHATTISGARH,2009,Married,3106,1365,4471
CHHATTISGARH,2009,Widowed/Widower,89,135,224
CHHATTISGARH,2009,Divorcee,2,7,9
CHHATTISGARH,2009,Seperated,11,14,25
CHHATTISGARH,2009,Total,3954,1929,5883
CHHATTISGARH,2010,Never Married,1381,641,2022
CHHATTISGARH,2010,Married,3064,1210,4274
CHHATTISGARH,2010,Widowed/Widower,89,120,209
CHHATTISGARH,2010,Divorcee,2,2,4
CHHATTISGARH,2010,Seperated,9,4,13
CHHATTISGARH,2010,Total,4545,1977,6522
CHHATTISGARH,2011,Never Married,1491,690,2181
CHHATTISGARH,2011,Married,2865,1366,4231
CHHATTISGARH,2011,Widowed/Widower,116,118,234
CHHATTISGARH,2011,Divorcee,12,12,24
CHHATTISGARH,2011,Seperated,43,43,86
CHHATTISGARH,2011,Total,4527,2229,6756
CHHATTISGARH,2012,Never Married,1085,456,1541
CHHATTISGARH,2012,Married,2696,1053,3749
CHHATTISGARH,2012,Widowed/Widower,137,77,214
CHHATTISGARH,2012,Divorcee,34,22,56
CHHATTISGARH,2012,Seperated,62,32,94
CHHATTISGARH,2012,Total,4014,1640,5654
GOA,2001,Never Married,60,29,89
GOA,2001,Married,98,55,153
GOA,2001,Widowed/Widower,4,5,9
GOA,2001,Divorcee,0,0,0
GOA,2001,Seperated,5,0,5
GOA,2001,Total,167,89,256
GOA,2002,Never Married,101,30,131
GOA,2002,Married,122,47,169
GOA,2002,Widowed/Widower,3,5,8
GOA,2002,Divorcee,0,0,0
GOA,2002,Seperated,0,1,1
GOA,2002,Total,226,83,309
GOA,2003,Never Married,92,32,124
GOA,2003,Married,115,53,168
GOA,2003,Widowed/Widower,6,2,8
GOA,2003,Divorcee,0,0,0
GOA,2003,Seperated,0,0,0
GOA,2003,Total,213,87,300
GOA,2004,Never Married,87,34,121
GOA,2004,Married,123,65,188
GOA,2004,Widowed/Widower,1,3,4
GOA,2004,Divorcee,0,0,0
GOA,2004,Seperated,1,0,1
GOA,2004,Total,212,102,314
GOA,2005,Never Married,82,32,114
GOA,2005,Married,114,50,164
GOA,2005,Widowed/Widower,1,2,3
GOA,2005,Divorcee,0,0,0
GOA,2005,Seperated,0,1,1
GOA,2005,Total,197,85,282
GOA,2006,Never Married,74,36,110
GOA,2006,Married,106,51,157
GOA,2006,Widowed/Widower,3,5,8
GOA,2006,Divorcee,0,0,0
GOA,2006,Seperated,0,0,0
GOA,2006,Total,183,92,275
GOA,2007,Never Married,66,28,94
GOA,2007,Married,111,58,169
GOA,2007,Widowed/Widower,1,6,7
GOA,2007,Divorcee,0,0,0
GOA,2007,Seperated,0,0,0
GOA,2007,Total,178,92,270
GOA,2008,Never Married,65,34,99
GOA,2008,Married,105,64,169
GOA,2008,Widowed/Widower,1,3,4
GOA,2008,Divorcee,6,3,9
GOA,2008,Seperated,6,0,6
GOA,2008,Total,183,104,287
GOA,2009,Never Married,70,31,101
GOA,2009,Married,99,58,157
GOA,2009,Widowed/Widower,2,4,6
GOA,2009,Divorcee,6,1,7
GOA,2009,Seperated,7,0,7
GOA,2009,Total,184,94,278
GOA,2010,Never Married,88,27,115
GOA,2010,Married,127,55,182
GOA,2010,Widowed/Widower,3,3,6
GOA,2010,Divorcee,1,0,1
GOA,2010,Seperated,17,1,18
GOA,2010,Total,236,86,322
GOA,2011,Never Married,78,38,116
GOA,2011,Married,117,57,174
GOA,2011,Widowed/Widower,0,2,2
GOA,2011,Divorcee,0,1,1
GOA,2011,Seperated,0,0,0
GOA,2011,Total,195,98,293
GOA,2012,Never Married,72,30,102
GOA,2012,Married,112,58,170
GOA,2012,Widowed/Widower,10,5,15
GOA,2012,Divorcee,2,0,2
GOA,2012,Seperated,0,0,0
GOA,2012,Total,196,93,289
GUJARAT,2001,Never Married,581,449,1030
GUJARAT,2001,Married,1948,1562,3510
GUJARAT,2001,Widowed/Widower,89,109,198
GUJARAT,2001,Divorcee,13,12,25
GUJARAT,2001,Seperated,18,10,28
GUJARAT,2001,Total,2649,2142,4791
GUJARAT,2002,Never Married,612,439,1051
GUJARAT,2002,Married,1952,1381,3333
GUJARAT,2002,Widowed/Widower,93,95,188
GUJARAT,2002,Divorcee,18,8,26
GUJARAT,2002,Seperated,31,15,46
GUJARAT,2002,Total,2706,1938,4644
GUJARAT,2003,Never Married,505,369,874
GUJARAT,2003,Married,1963,1395,3358
GUJARAT,2003,Widowed/Widower,113,110,223
GUJARAT,2003,Divorcee,35,27,62
GUJARAT,2003,Seperated,34,15,49
GUJARAT,2003,Total,2650,1916,4566
GUJARAT,2004,Never Married,589,376,965
GUJARAT,2004,Married,2049,1397,3446
GUJARAT,2004,Widowed/Widower,104,101,205
GUJARAT,2004,Divorcee,37,31,68
GUJARAT,2004,Seperated,71,21,92
GUJARAT,2004,Total,2850,1926,4776
GUJARAT,2005,Never Married,548,396,944
GUJARAT,2005,Married,2092,1294,3386
GUJARAT,2005,Widowed/Widower,160,124,284
GUJARAT,2005,Divorcee,28,20,48
GUJARAT,2005,Seperated,74,29,103
GUJARAT,2005,Total,2902,1863,4765
GUJARAT,2006,Never Married,657,474,1131
GUJARAT,2006,Married,2120,1333,3453
GUJARAT,2006,Widowed/Widower,156,120,276
GUJARAT,2006,Divorcee,41,36,77
GUJARAT,2006,Seperated,74,24,98
GUJARAT,2006,Total,3048,1987,5035
GUJARAT,2007,Never Married,652,444,1096
GUJARAT,2007,Married,2451,1549,4000
GUJARAT,2007,Widowed/Widower,131,126,257
GUJARAT,2007,Divorcee,47,49,96
GUJARAT,2007,Seperated,94,37,131
GUJARAT,2007,Total,3375,2205,5580
GUJARAT,2008,Never Married,776,483,1259
GUJARAT,2008,Married,2723,1754,4477
GUJARAT,2008,Widowed/Widower,125,118,243
GUJARAT,2008,Divorcee,36,49,85
GUJARAT,2008,Seperated,75,26,101
GUJARAT,2008,Total,3735,2430,6165
GUJARAT,2009,Never Married,707,489,1196
GUJARAT,2009,Married,2693,1800,4493
GUJARAT,2009,Widowed/Widower,152,121,273
GUJARAT,2009,Divorcee,53,54,107
GUJARAT,2009,Seperated,66,21,87
GUJARAT,2009,Total,3671,2485,6156
GUJARAT,2010,Never Married,818,557,1375
GUJARAT,2010,Married,2683,1613,4296
GUJARAT,2010,Widowed/Widower,171,142,313
GUJARAT,2010,Divorcee,50,57,107
GUJARAT,2010,Seperated,91,25,116
GUJARAT,2010,Total,3813,2394,6207
GUJARAT,2011,Never Married,838,591,1429
GUJARAT,2011,Married,2732,1709,4441
GUJARAT,2011,Widowed/Widower,225,115,340
GUJARAT,2011,Divorcee,50,34,84
GUJARAT,2011,Seperated,67,21,88
GUJARAT,2011,Total,3912,2470,6382
GUJARAT,2012,Never Married,984,641,1625
GUJARAT,2012,Married,3047,1903,4950
GUJARAT,2012,Widowed/Widower,184,130,314
GUJARAT,2012,Divorcee,63,47,110
GUJARAT,2012,Seperated,84,27,111
GUJARAT,2012,Total,4362,2748,7110
HARYANA,2001,Never Married,228,76,304
HARYANA,2001,Married,1008,487,1495
HARYANA,2001,Widowed/Widower,74,40,114
HARYANA,2001,Divorcee,10,24,34
HARYANA,2001,Seperated,44,16,60
HARYANA,2001,Total,1364,643,2007
HARYANA,2002,Never Married,214,76,290
HARYANA,2002,Married,1252,511,1763
HARYANA,2002,Widowed/Widower,53,19,72
HARYANA,2002,Divorcee,11,14,25
HARYANA,2002,Seperated,40,10,50
HARYANA,2002,Total,1570,630,2200
HARYANA,2003,Never Married,257,99,356
HARYANA,2003,Married,1246,449,1695
HARYANA,2003,Widowed/Widower,55,30,85
HARYANA,2003,Divorcee,12,24,36
HARYANA,2003,Seperated,43,12,55
HARYANA,2003,Total,1613,614,2227
HARYANA,2004,Never Married,218,81,299
HARYANA,2004,Married,1163,474,1637
HARYANA,2004,Widowed/Widower,47,25,72
HARYANA,2004,Divorcee,8,16,24
HARYANA,2004,Seperated,18,32,50
HARYANA,2004,Total,1454,628,2082
HARYANA,2005,Never Married,227,70,297
HARYANA,2005,Married,1180,460,1640
HARYANA,2005,Widowed/Widower,56,18,74
HARYANA,2005,Divorcee,8,1,9
HARYANA,2005,Seperated,22,4,26
HARYANA,2005,Total,1493,553,2046
HARYANA,2006,Never Married,314,106,420
HARYANA,2006,Married,1342,407,1749
HARYANA,2006,Widowed/Widower,81,28,109
HARYANA,2006,Divorcee,4,5,9
HARYANA,2006,Seperated,25,4,29
HARYANA,2006,Total,1766,550,2316
HARYANA,2007,Never Married,384,106,490
HARYANA,2007,Married,1370,428,1798
HARYANA,2007,Widowed/Widower,69,37,106
HARYANA,2007,Divorcee,8,5,13
HARYANA,2007,Seperated,21,5,26
HARYANA,2007,Total,1852,581,2433
HARYANA,2008,Never Married,342,139,481
HARYANA,2008,Married,1492,479,1971
HARYANA,2008,Widowed/Widower,96,52,148
HARYANA,2008,Divorcee,19,8,27
HARYANA,2008,Seperated,25,4,29
HARYANA,2008,Total,1974,682,2656
HARYANA,2009,Never Married,317,121,438
HARYANA,2009,Married,1381,518,1899
HARYANA,2009,Widowed/Widower,87,38,125
HARYANA,2009,Divorcee,10,3,13
HARYANA,2009,Seperated,20,8,28
HARYANA,2009,Total,1815,688,2503
HARYANA,2010,Never Married,337,133,470
HARYANA,2010,Married,1434,488,1922
HARYANA,2010,Widowed/Widower,76,43,119
HARYANA,2010,Divorcee,8,3,11
HARYANA,2010,Seperated,323,50,373
HARYANA,2010,Total,2178,717,2895
HARYANA,2011,Never Married,651,202,853
HARYANA,2011,Married,1676,509,2185
HARYANA,2011,Widowed/Widower,124,61,185
HARYANA,2011,Divorcee,7,6,13
HARYANA,2011,Seperated,6,3,9
HARYANA,2011,Total,2464,781,3245
HARYANA,2012,Never Married,550,155,705
HARYANA,2012,Married,1371,528,1899
HARYANA,2012,Widowed/Widower,105,42,147
HARYANA,2012,Divorcee,6,5,11
HARYANA,2012,Seperated,39,26,65
HARYANA,2012,Total,2071,756,2827
HIMACHAL PRADESH,2001,Never Married,42,28,70
HIMACHAL PRADESH,2001,Married,126,94,220
HIMACHAL PRADESH,2001,Widowed/Widower,2,2,4
HIMACHAL PRADESH,2001,Divorcee,3,3,6
HIMACHAL PRADESH,2001,Seperated,4,3,7
HIMACHAL PRADESH,2001,Total,177,130,307
HIMACHAL PRADESH,2002,Never Married,59,25,84
HIMACHAL PRADESH,2002,Married,140,93,233
HIMACHAL PRADESH,2002,Widowed/Widower,4,7,11
HIMACHAL PRADESH,2002,Divorcee,1,1,2
HIMACHAL PRADESH,2002,Seperated,4,0,4
HIMACHAL PRADESH,2002,Total,208,126,334
HIMACHAL PRADESH,2003,Never Married,64,38,102
HIMACHAL PRADESH,2003,Married,162,102,264
HIMACHAL PRADESH,2003,Widowed/Widower,6,2,8
HIMACHAL PRADESH,2003,Divorcee,0,2,2
HIMACHAL PRADESH,2003,Seperated,8,2,10
HIMACHAL PRADESH,2003,Total,240,146,386
HIMACHAL PRADESH,2004,Never Married,70,30,100
HIMACHAL PRADESH,2004,Married,148,94,242
HIMACHAL PRADESH,2004,Widowed/Widower,12,7,19
HIMACHAL PRADESH,2004,Divorcee,4,1,5
HIMACHAL PRADESH,2004,Seperated,2,3,5
HIMACHAL PRADESH,2004,Total,236,135,371
HIMACHAL PRADESH,2005,Never Married,69,39,108
HIMACHAL PRADESH,2005,Married,119,86,205
HIMACHAL PRADESH,2005,Widowed/Widower,2,5,7
