State/UT,Year,Cause,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Total
ANDHRA PRADESH,2004,Total (Jumping),1,4,3,1,1,10,2,8,7,1,0,18,28
ANDHRA PRADESH,2005,By Over Alcoholism,0,23,56,34,8,121,0,0,0,0,0,0,121
ANDHRA PRADESH,2005,By Drowning,19,118,146,129,76,488,27,119,90,62,33,331,819
ANDHRA PRADESH,2005,By Fire/Self Immolation,10,132,155,71,54,422,25,312,206,99,46,688,1110
ANDHRA PRADESH,2005,By Fire-Arms,0,6,18,10,4,38,2,7,6,1,0,16,54
ANDHRA PRADESH,2005,By Hanging,19,559,726,426,194,1924,17,419,222,84,57,799,2723
ANDHRA PRADESH,2005,By Consuming Insecticides,39,1050,1356,934,334,3713,47,701,567,247,150,1712,5425
ANDHRA PRADESH,2005,By Consuming Other Poison,19,207,236,156,67,685,20,173,107,147,84,531,1216
ANDHRA PRADESH,2005,By Self Infliction of injury,0,5,1,3,1,10,0,0,0,0,0,0,10
ANDHRA PRADESH,2005,By Jumping from (Building),1,8,11,6,1,27,2,5,1,0,0,8,35
ANDHRA PRADESH,2005,By Jumping from (Other sites),0,1,7,2,0,10,0,0,2,2,0,4,14
ANDHRA PRADESH,2005,By Jumping off Moving Vehicles/Trains,2,71,108,54,18,253,0,31,18,8,2,59,312
ANDHRA PRADESH,2005,By Machine,0,1,0,0,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2005,By Overdose of sleeping pills,0,3,3,18,1,25,0,8,3,6,10,27,52
ANDHRA PRADESH,2005,By touching electric wires,0,24,29,13,0,66,0,0,1,1,3,5,71
ANDHRA PRADESH,2005,By coming under running vehicles/trains,11,90,149,142,96,488,5,29,36,18,8,96,584
ANDHRA PRADESH,2005,By Other means (please specify),23,146,177,158,90,594,16,100,101,58,26,301,895
ANDHRA PRADESH,2005,Total,143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,13442
ANDHRA PRADESH,2005,Total (Poison),58,1262,1593,1093,402,4408,67,874,674,394,234,2243,6651
ANDHRA PRADESH,2005,Total (Jumping),1,9,18,8,1,37,2,5,3,2,0,12,49
ANDHRA PRADESH,2006,By Over Alcoholism,0,27,66,43,13,149,0,1,2,0,0,3,152
ANDHRA PRADESH,2006,By Drowning,28,153,179,90,41,491,18,112,73,60,43,306,797
ANDHRA PRADESH,2006,By Fire/Self Immolation,6,122,157,76,26,387,21,315,197,71,25,629,1016
ANDHRA PRADESH,2006,By Fire-Arms,0,2,6,2,0,10,2,3,3,1,0,9,19
ANDHRA PRADESH,2006,By Hanging,27,647,661,391,137,1863,36,435,283,105,37,896,2759
ANDHRA PRADESH,2006,By Consuming Insecticides,36,1077,1442,858,233,3646,51,783,531,212,124,1701,5347
ANDHRA PRADESH,2006,By Consuming Other Poison,18,292,323,262,79,974,41,187,136,56,21,441,1415
ANDHRA PRADESH,2006,By Self Infliction of injury,7,1,1,1,0,10,0,0,1,1,1,3,13
ANDHRA PRADESH,2006,By Jumping from (Building),1,6,8,10,1,26,0,4,1,1,0,6,32
ANDHRA PRADESH,2006,By Jumping from (Other sites),0,33,53,47,7,140,0,3,6,1,2,12,152
ANDHRA PRADESH,2006,By Jumping off Moving Vehicles/Trains,0,23,22,24,0,69,0,7,3,0,0,10,79
ANDHRA PRADESH,2006,By Machine,0,0,0,0,0,0,0,2,0,0,0,2,2
ANDHRA PRADESH,2006,By Overdose of sleeping pills,6,6,19,9,2,42,0,14,8,3,0,25,67
ANDHRA PRADESH,2006,By touching electric wires,3,25,30,9,2,69,1,2,0,2,0,5,74
ANDHRA PRADESH,2006,By coming under running vehicles/trains,3,153,180,136,99,571,2,28,23,26,17,96,667
ANDHRA PRADESH,2006,By Other means (please specify),34,129,131,74,48,416,23,91,90,44,21,269,685
ANDHRA PRADESH,2006,Total,169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,13276
ANDHRA PRADESH,2006,Total (Poison),61,1370,1766,1121,312,4630,92,970,668,269,146,2145,6775
ANDHRA PRADESH,2006,Total (Jumping),1,39,61,57,8,166,0,7,7,2,2,18,184
ANDHRA PRADESH,2007,By Over Alcoholism,0,18,61,56,4,139,0,1,0,0,0,1,140
ANDHRA PRADESH,2007,By Drowning,23,195,195,110,53,576,40,86,119,57,45,347,923
ANDHRA PRADESH,2007,By Fire/Self Immolation,12,177,253,87,40,569,33,400,255,112,41,841,1410
ANDHRA PRADESH,2007,By Fire-Arms,0,1,4,3,0,8,3,3,9,1,2,18,26
ANDHRA PRADESH,2007,By Hanging,14,619,699,420,123,1875,30,517,267,142,44,1000,2875
ANDHRA PRADESH,2007,By Consuming Insecticides,40,995,1326,885,453,3699,43,654,483,288,134,1602,5301
ANDHRA PRADESH,2007,By Consuming Other Poison,17,443,548,376,82,1466,28,261,164,112,43,608,2074
ANDHRA PRADESH,2007,By Self Infliction of injury,0,4,6,5,0,15,0,4,3,0,1,8,23
ANDHRA PRADESH,2007,By Jumping from (Building),1,4,12,13,5,35,3,6,1,3,0,13,48
ANDHRA PRADESH,2007,By Jumping from (Other sites),4,21,6,24,10,65,0,9,6,3,0,18,83
ANDHRA PRADESH,2007,By Jumping off Moving Vehicles/Trains,0,18,13,11,5,47,0,4,3,0,0,7,54
ANDHRA PRADESH,2007,By Machine,0,0,1,0,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2007,By Overdose of sleeping pills,2,9,12,4,2,29,1,3,11,2,0,17,46
ANDHRA PRADESH,2007,By touching electric wires,0,15,27,4,0,46,0,2,3,3,4,12,58
ANDHRA PRADESH,2007,By coming under running vehicles/trains,3,204,308,157,108,780,2,42,24,29,14,111,891
ANDHRA PRADESH,2007,By Other means (please specify),5,213,189,149,43,599,11,147,102,52,18,330,929
ANDHRA PRADESH,2007,Total,121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,14882
ANDHRA PRADESH,2007,Total (Poison),57,1442,1880,1266,535,5180,71,919,650,400,178,2218,7398
ANDHRA PRADESH,2007,Total (Jumping),5,25,18,37,15,100,3,15,7,6,0,31,131
ANDHRA PRADESH,2008,By Over Alcoholism,0,75,88,49,9,221,0,0,5,0,0,5,226
ANDHRA PRADESH,2008,By Drowning,12,145,169,78,48,452,17,90,93,53,26,279,731
ANDHRA PRADESH,2008,By Fire/Self Immolation,4,211,232,91,28,566,19,339,256,86,22,722,1288
ANDHRA PRADESH,2008,By Fire-Arms,0,6,5,4,0,15,0,1,5,6,0,12,27
ANDHRA PRADESH,2008,By Hanging,19,611,885,425,135,2075,22,330,319,158,48,877,2952
ANDHRA PRADESH,2008,By Consuming Insecticides,31,1005,1328,815,310,3489,44,650,466,190,90,1440,4929
ANDHRA PRADESH,2008,By Consuming Other Poison,6,276,475,587,69,1413,5,267,263,161,64,760,2173
ANDHRA PRADESH,2008,By Self Infliction of injury,0,1,7,3,6,17,0,0,3,0,0,3,20
ANDHRA PRADESH,2008,By Jumping from (Building),2,12,10,5,2,31,0,3,1,3,0,7,38
ANDHRA PRADESH,2008,By Jumping from (Other sites),1,6,9,6,2,24,0,0,1,2,0,3,27
ANDHRA PRADESH,2008,By Jumping off Moving Vehicles/Trains,0,1,8,17,0,26,1,4,0,0,0,5,31
ANDHRA PRADESH,2008,By Machine,0,3,2,1,0,6,0,1,0,0,0,1,7
ANDHRA PRADESH,2008,By Overdose of sleeping pills,0,8,4,5,1,18,0,13,11,1,0,25,43
ANDHRA PRADESH,2008,By touching electric wires,0,17,17,14,2,50,2,5,5,4,1,17,67
ANDHRA PRADESH,2008,By coming under running vehicles/trains,4,172,125,127,57,485,3,36,14,14,2,69,554
ANDHRA PRADESH,2008,By Other means (please specify),12,165,305,250,101,833,9,143,142,60,54,408,1241
ANDHRA PRADESH,2008,Total,91,2714,3669,2477,770,9721,122,1882,1584,738,307,4633,14354
ANDHRA PRADESH,2008,Total (Poison),37,1282,1810,1405,385,4919,49,917,732,351,154,2203,7122
ANDHRA PRADESH,2008,Total (Jumping),3,18,19,11,4,55,0,3,2,5,0,10,65
ANDHRA PRADESH,2009,By Over Alcoholism,0,106,92,51,14,263,0,2,7,2,1,12,275
ANDHRA PRADESH,2009,By Drowning,16,122,170,72,34,414,14,75,75,50,36,250,664
ANDHRA PRADESH,2009,By Fire/Self Immolation,6,192,315,195,31,739,15,360,263,122,53,813,1552
ANDHRA PRADESH,2009,By Fire-Arms,0,2,3,2,0,7,0,0,1,3,1,5,12
ANDHRA PRADESH,2009,By Hanging,3,582,787,478,125,1975,15,462,285,202,45,1009,2984
ANDHRA PRADESH,2009,By Consuming Insecticides,13,814,1322,862,300,3311,24,457,382,245,88,1196,4507
ANDHRA PRADESH,2009,By Consuming Other Poison,9,437,555,555,149,1705,29,336,222,99,34,720,2425
ANDHRA PRADESH,2009,By Self Infliction of injury,0,4,5,5,4,18,0,8,10,0,0,18,36
ANDHRA PRADESH,2009,By Jumping from (Building),1,25,26,15,4,71,1,22,6,4,1,34,105
ANDHRA PRADESH,2009,By Jumping from (Other sites),1,2,6,11,9,29,0,1,0,0,1,2,31
ANDHRA PRADESH,2009,By Jumping off Moving Vehicles/Trains,0,6,3,2,0,11,0,2,0,1,0,3,14
ANDHRA PRADESH,2009,By Machine,0,1,2,8,1,12,0,1,0,0,0,1,13
ANDHRA PRADESH,2009,By Overdose of sleeping pills,0,8,12,6,0,26,3,11,5,4,1,24,50
ANDHRA PRADESH,2009,By touching electric wires,2,15,24,27,3,71,8,7,5,2,0,22,93
ANDHRA PRADESH,2009,By coming under running vehicles/trains,2,177,137,121,34,471,2,44,23,17,7,93,564
ANDHRA PRADESH,2009,By Other means (please specify),14,234,263,176,77,764,16,146,136,78,35,411,1175
ANDHRA PRADESH,2009,Total,67,2727,3722,2586,785,9887,127,1934,1420,829,303,4613,14500
ANDHRA PRADESH,2009,Total (Poison),22,1255,1882,1422,453,5034,53,801,614,344,122,1934,6968
ANDHRA PRADESH,2009,Total (Jumping),2,27,32,26,13,100,1,23,6,4,2,36,136
ANDHRA PRADESH,2010,By Over Alcoholism,0,90,82,54,23,249,0,2,5,12,6,25,274
ANDHRA PRADESH,2010,By Drowning,13,206,214,166,57,656,24,125,126,45,51,371,1027
ANDHRA PRADESH,2010,By Fire/Self Immolation,11,225,313,172,58,779,27,420,244,98,39,828,1607
ANDHRA PRADESH,2010,By Fire-Arms,0,36,25,16,5,82,0,42,18,0,1,61,143
ANDHRA PRADESH,2010,By Hanging,16,705,707,453,148,2029,16,443,268,95,42,864,2893
ANDHRA PRADESH,2010,By Consuming Insecticides,27,1187,1231,817,208,3470,24,612,454,194,110,1394,4864
ANDHRA PRADESH,2010,By Consuming Other Poison,5,395,470,335,159,1364,12,218,169,91,95,585,1949
ANDHRA PRADESH,2010,By Self Infliction of injury,0,20,51,22,3,96,1,10,9,5,2,27,123
ANDHRA PRADESH,2010,By Jumping from (Building),1,30,53,8,1,93,0,9,14,2,4,29,122
ANDHRA PRADESH,2010,By Jumping from (Other sites),0,19,37,10,1,67,0,10,13,0,1,24,91
ANDHRA PRADESH,2010,By Jumping off Moving Vehicles/Trains,0,12,10,2,1,25,0,2,3,0,0,5,30
ANDHRA PRADESH,2010,By Machine,0,3,4,2,1,10,0,0,1,0,0,1,11
ANDHRA PRADESH,2010,By Overdose of sleeping pills,0,59,51,21,3,134,0,29,20,9,0,58,192
ANDHRA PRADESH,2010,By touching electric wires,3,46,40,31,5,125,0,7,13,2,2,24,149
ANDHRA PRADESH,2010,By coming under running vehicles/trains,7,245,235,182,91,760,4,46,46,19,16,131,891
ANDHRA PRADESH,2010,By Other means (please specify),12,252,339,275,130,1008,22,170,169,106,60,527,1535
ANDHRA PRADESH,2010,Total,95,3530,3862,2566,894,10947,130,2145,1572,678,429,4954,15901
ANDHRA PRADESH,2010,Total (Poison),32,1602,1752,1174,370,4930,37,840,632,290,207,2006,6936
ANDHRA PRADESH,2010,Total (Jumping),1,49,90,18,2,160,0,19,27,2,5,53,213
ANDHRA PRADESH,2011,By Over Alcoholism,0,17,57,28,27,129,0,1,0,0,3,4,133
ANDHRA PRADESH,2011,By Drowning,26,168,167,126,107,594,14,169,102,52,41,378,972
ANDHRA PRADESH,2011,By Fire/Self Immolation,6,188,254,227,45,720,19,472,256,93,37,877,1597
ANDHRA PRADESH,2011,By Fire-Arms,0,6,2,2,0,10,0,8,4,2,0,14,24
ANDHRA PRADESH,2011,By Hanging,15,590,768,689,134,2196,22,425,312,162,53,974,3170
ANDHRA PRADESH,2011,By Consuming Insecticides,31,785,1022,700,286,2824,31,567,333,157,55,1143,3967
ANDHRA PRADESH,2011,By Consuming Other Poison,10,631,731,527,163,2062,27,438,377,133,69,1044,3106
ANDHRA PRADESH,2011,By Self Infliction of injury,0,13,13,5,4,35,0,1,3,1,0,5,40
ANDHRA PRADESH,2011,By Jumping from (Building),1,10,7,12,1,31,2,10,5,8,3,28,59
ANDHRA PRADESH,2011,By Jumping from (Other sites),1,6,11,9,1,28,0,7,1,0,0,8,36
ANDHRA PRADESH,2011,By Jumping off Moving Vehicles/Trains,0,0,2,0,0,2,0,0,0,0,0,0,2
ANDHRA PRADESH,2011,By Machine,0,0,2,0,1,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2011,By Overdose of sleeping pills,0,42,12,14,10,78,6,30,20,9,2,67,145
ANDHRA PRADESH,2011,By touching electric wires,0,9,8,1,1,19,0,0,0,0,0,0,19
ANDHRA PRADESH,2011,By coming under running vehicles/trains,0,150,231,185,82,648,2,50,73,16,20,161,809
ANDHRA PRADESH,2011,By Other means (please specify),22,213,264,185,57,741,20,106,69,30,29,254,995
ANDHRA PRADESH,2011,Total,112,2828,3551,2710,919,10120,143,2284,1555,663,312,4957,15077
ANDHRA PRADESH,2011,Total (Poison),41,1429,1766,1232,453,4921,58,1006,713,291,124,2192,7113
ANDHRA PRADESH,2011,Total (Jumping),2,16,18,21,2,59,2,17,6,8,3,36,95
ANDHRA PRADESH,2012,By Over Alcoholism,0,31,86,23,37,177,0,3,4,1,3,11,188
ANDHRA PRADESH,2012,By Drowning,17,149,172,144,102,584,15,121,76,43,38,293,877
ANDHRA PRADESH,2012,By Fire/Self Immolation,6,174,231,118,36,565,24,381,232,85,49,771,1336
ANDHRA PRADESH,2012,By Fire-Arms,0,5,8,0,0,13,0,2,0,0,0,2,15
ANDHRA PRADESH,2012,By Hanging,9,606,827,701,134,2277,16,417,249,124,23,829,3106
ANDHRA PRADESH,2012,By Consuming Insecticides,11,716,953,611,192,2483,20,480,322,165,68,1055,3538
ANDHRA PRADESH,2012,By Consuming Other Poison,6,335,631,292,244,1508,49,391,356,165,75,1036,2544
ANDHRA PRADESH,2012,By Self Infliction of injury,0,17,16,11,2,46,3,13,23,5,0,44,90
ANDHRA PRADESH,2012,By Jumping from (Building),0,17,18,12,3,50,4,14,14,1,1,34,84
ANDHRA PRADESH,2012,By Jumping from (Other sites),0,7,15,5,1,28,1,3,1,0,1,6,34
ANDHRA PRADESH,2012,By Jumping off Moving Vehicles/Trains,0,3,0,2,0,5,0,1,0,0,0,1,6
ANDHRA PRADESH,2012,By Machine,0,0,0,3,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2012,By Overdose of sleeping pills,0,18,17,23,5,63,0,34,26,22,4,86,149
ANDHRA PRADESH,2012,By touching electric wires,0,20,8,9,6,43,0,1,5,0,0,6,49
ANDHRA PRADESH,2012,By coming under running vehicles/trains,4,294,353,198,107,956,1,63,33,31,17,145,1101
ANDHRA PRADESH,2012,By Other means (please specify),12,151,293,188,82,726,10,122,125,88,47,392,1118
ANDHRA PRADESH,2012,Total,65,2543,3628,2340,951,9527,143,2046,1466,730,326,4711,14238
ANDHRA PRADESH,2012,Total (Poison),17,1068,1600,914,438,4037,72,884,701,335,143,2135,6172
ANDHRA PRADESH,2012,Total (Jumping),0,24,33,17,4,78,5,17,15,1,2,40,118
ARUNACHAL PRADESH,2001,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Drowning,0,1,0,0,0,1,0,1,1,0,0,2,3
ARUNACHAL PRADESH,2001,By Fire/Self Immolation,0,0,1,0,0,1,0,2,1,0,0,3,4
ARUNACHAL PRADESH,2001,By Fire-Arms,0,1,0,0,0,1,0,0,0,0,0,0,1
ARUNACHAL PRADESH,2001,By Hanging,1,20,35,10,0,66,2,17,6,1,0,26,92
ARUNACHAL PRADESH,2001,By Consuming Insecticides,0,1,0,0,0,1,0,0,0,0,0,0,1
ARUNACHAL PRADESH,2001,By Consuming Other Poison,1,1,2,1,1,6,0,2,1,0,0,3,9
ARUNACHAL PRADESH,2001,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By touching electric wires,0,0,0,0,0,0,0,1,0,0,0,1,1
ARUNACHAL PRADESH,2001,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,By Other means (please specify),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,Total,2,24,38,11,1,76,2,23,9,1,0,35,111
ARUNACHAL PRADESH,2001,Total (Poison),1,2,2,1,1,7,0,2,1,0,0,3,10
ARUNACHAL PRADESH,2001,Total (Jumping),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Drowning,0,2,6,0,1,9,0,0,0,0,0,0,9
ARUNACHAL PRADESH,2002,By Fire/Self Immolation,0,0,1,0,0,1,0,3,0,0,0,3,4
ARUNACHAL PRADESH,2002,By Fire-Arms,0,0,1,0,0,1,0,0,0,0,0,0,1
ARUNACHAL PRADESH,2002,By Hanging,1,17,27,9,2,56,1,20,8,1,1,31,87
ARUNACHAL PRADESH,2002,By Consuming Insecticides,0,1,0,0,0,1,1,2,0,0,0,3,4
ARUNACHAL PRADESH,2002,By Consuming Other Poison,0,0,3,0,0,3,0,3,3,0,0,6,9
ARUNACHAL PRADESH,2002,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Jumping from (Other sites),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By touching electric wires,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,By Other means,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,Total,1,20,38,9,3,71,2,28,11,1,1,43,114
ARUNACHAL PRADESH,2002,Total (Poison),0,1,3,0,0,4,1,5,3,0,0,9,13
